created_at,polarity,subjectivity,summary,text,title,ID,tophic_id
2017-02-13T15:29:03.331554,-16.80%,36%,"STATE COLLEGE, Pa. (AP) Â— Penn State says posters that someone has put up on university bulletin boards calling on people to report illegal immigrants are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.
""Officials said the posters began appearing on public bulletin boards on the main campus at State College.
AdvertisementSuch posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said.
The university finds them deeply offensive,"" Penn State said in a statement.
The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week.","STATE COLLEGE, Pa. (AP) Â— Penn State says posters that someone has put up on university bulletin boards calling on people to report illegal immigrants are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.""
Officials said the posters began appearing on public bulletin boards on the main campus at State College. The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week. An image published by the paper included the message, ""It is your civic duty to report any and all illegal aliens. They have broken the law.""
""The posters are unsigned and appear to be designed to provoke anger, fear and hate. The university finds them deeply offensive,"" Penn State said in a statement.
The Pittsburgh Post-Gazette reported that U.S. Immigration and Customs Enforcement officials called the signs ""bogus"" on Friday, saying the agency wasn't involved and wouldn't solicit information in that manner.
Advertisement
Such posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said. Posters on public boards would not be removed ""but may be relocated if they are used to block other posted documents,"" the university said.
The posters came amid concern on campus over federal immigration policies of the Trump administration, including a temporary ban on immigration from seven Muslim-majority nations that has been blocked by the federal courts.
University president Eric Barron expressed opposition to the action in a Jan. 29 statement and urged international students, faculty and scholars to carry immigration documents proving their legal status ""whenever you are traveling within the United States.""
The university said in its statement about the posters that officials wanted to emphasize ""that every student on this campus has earned the right to be here based on their academic qualifications and hard work.
""Penn State is enriched by students and scholars from around the world and we will continue our work on providing a climate of inclusion for all, regardless of country of origin,"" the university said.",Penn State calls immigration posters 'deeply offensive',http://Santacruzsentinel.com/general-news/20170212/penn-state-calls-immigration-posters-deeply-offensive,http://Santacruzsentinel.com/general-news/20170212/penn-state-calls-immigration-posters-deeply-offensive
2017-02-13T15:58:53.919077,-16.80%,36%,"""Officials said the posters began appearing on public bulletin boards on the main campus at State College.
Such posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said.
STATE COLLEGE, Pa. (AP) â€” Penn State says posters that someone has put up on university bulletin boards calling on people to report those in the country illegally are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.
The university finds them deeply offensive,"" Penn State said in a statement.
The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week.","STATE COLLEGE, Pa. (AP) â€” Penn State says posters that someone has put up on university bulletin boards calling on people to report those in the country illegally are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.""
Officials said the posters began appearing on public bulletin boards on the main campus at State College. The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week. An image published by the paper included the message, ""It is your civic duty to report any and all illegal aliens. They have broken the law.""
""The posters are unsigned and appear to be designed to provoke anger, fear and hate. The university finds them deeply offensive,"" Penn State said in a statement.
The Pittsburgh Post-Gazette reported that U.S. Immigration and Customs Enforcement officials called the signs ""bogus"" on Friday, saying the agency wasn't involved and wouldn't solicit information in that manner.
Such posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said. Posters on public boards would not be removed ""but may be relocated if they are used to block other posted documents,"" the university said.
The posters came amid concern on campus over federal immigration policies of the Trump administration, including a temporary ban on immigration from seven Muslim-majority nations that has been blocked by the federal courts.
University president Eric Barron expressed opposition to the action in a Jan. 29 statement and urged international students, faculty and scholars to carry immigration documents proving their legal statuses ""whenever you are traveling within the United States.""
The university said in its statement about the posters that officials wanted to emphasize ""that every student on this campus has earned the right to be here based on their academic qualifications and hard work.
""Penn State is enriched by students and scholars from around the world and we will continue our work on providing a climate of inclusion for all, regardless of country of origin,"" the university said.",Penn State calls immigration posters 'deeply offensive',http://Readingeagle.com/article/20170212/AP/302129737/1009,http://Readingeagle.com/article/20170212/AP/302129737/1009
2017-02-14T10:05:51.544423,-16.80%,36%,"STATE COLLEGE, Pa. (AP) Â— Penn State says posters that someone has put up on university bulletin boards calling on people to report illegal immigrants are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.
""Officials said the posters began appearing on public bulletin boards on the main campus at State College.
AdvertisementSuch posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said.
The university finds them deeply offensive,"" Penn State said in a statement.
The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week.","STATE COLLEGE, Pa. (AP) Â— Penn State says posters that someone has put up on university bulletin boards calling on people to report illegal immigrants are ""deeply offensive,"" saying they ""appear to be designed to provoke anger, fear and hate.""
Officials said the posters began appearing on public bulletin boards on the main campus at State College. The university's student newspaper, The Daily Collegian, said images of the posters had been circulating on social media earlier in the week. An image published by the paper included the message, ""It is your civic duty to report any and all illegal aliens. They have broken the law.""
""The posters are unsigned and appear to be designed to provoke anger, fear and hate. The university finds them deeply offensive,"" Penn State said in a statement.
The Pittsburgh Post-Gazette reported that U.S. Immigration and Customs Enforcement officials called the signs ""bogus"" on Friday, saying the agency wasn't involved and wouldn't solicit information in that manner.
Advertisement
Such posters found on bulletin boards designated for use only by university organizations were being removed, the university statement said. Posters on public boards would not be removed ""but may be relocated if they are used to block other posted documents,"" the university said.
The posters came amid concern on campus over federal immigration policies of the Trump administration, including a temporary ban on immigration from seven Muslim-majority nations that has been blocked by the federal courts.
University president Eric Barron expressed opposition to the action in a Jan. 29 statement and urged international students, faculty and scholars to carry immigration documents proving their legal status ""whenever you are traveling within the United States.""
The university said in its statement about the posters that officials wanted to emphasize ""that every student on this campus has earned the right to be here based on their academic qualifications and hard work.
""Penn State is enriched by students and scholars from around the world and we will continue our work on providing a climate of inclusion for all, regardless of country of origin,"" the university said.",Penn State calls immigration posters 'deeply offensive',http://Santacruzsentinel.com/general-news/20170212/penn-state-calls-immigration-posters-deeply-offensive,http://Santacruzsentinel.com/general-news/20170212/penn-state-calls-immigration-posters-deeply-offensive
2017-02-17T17:53:24.683845,-16.67%,33%,"Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access","Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access",White House considers rewriting Trump's immigration order,http://www.mcdowellnews.com/news/white-house-considers-rewriting-trump-s-immigration-order/article_ea3037a6-efde-11e6-b523-d32ce5ed696a.html,http://www.mcdowellnews.com/news/white-house-considers-rewriting-trump-s-immigration-order/article_ea3037a6-efde-11e6-b523-d32ce5ed696a.html
2017-02-17T02:45:01.509961,-16.67%,33%,"Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access","Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access",Georgia Senate: 'Upskirting' is wrong and should be illegal,http://goldenisles.news/news/state_news/georgia-senate-upskirting-is-wrong-and-should-be-illegal/article_978a1ff9-107b-507b-a8fa-3131dc14bdfe.html,http://goldenisles.news/news/state_news/georgia-senate-upskirting-is-wrong-and-should-be-illegal/article_978a1ff9-107b-507b-a8fa-3131dc14bdfe.html
2017-02-17T02:45:05.853326,-16.67%,33%,"Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access","Sorry, this zipcode is not in our deliverable area for this subscription service.
Re-enter zip code or sign up for digital access.
Get digital access",Georgia Senate: 'Upskirting' is wrong and should be illegal,http://goldenisles.news/news/state_news/georgia-senate-upskirting-is-wrong-and-should-be-illegal/article_978a1ff9-107b-507b-a8fa-3131dc14bdfe.html#comments,http://goldenisles.news/news/state_news/georgia-senate-upskirting-is-wrong-and-should-be-illegal/article_978a1ff9-107b-507b-a8fa-3131dc14bdfe.html#comments
2017-02-14T17:06:02.131957,-16.40%,38%,"The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas.","Immigration agents seize felons including gang members, drug dealers, and child molesters
By Kathryn Blackhurst, LifeZette.com
U.S. immigration officials arrested an MS-13 gang member, a cocaine trafficker, and a child molester during a series of raids in at least six states last week. The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas. ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News. â€œThis operation is on par with similar operations. We do this two or three times a year.â€ù
Of the illegal aliens arrested in the Los Angeles area, one was an MS-13 gang member from El Salvador who had been arrested previously in his native country for aggravated extortion, one was a Brazilian wanted for cocaine trafficking, and another was an Australian who had been convicted for carrying out â€œlewd and lasciviousâ€ù acts with a child.",Liberals Howl Over ICE Raids Targeting Criminal Illegal Immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants
2017-02-14T16:59:04.810270,-16.40%,38%,"The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas.","Immigration agents seize felons including gang members, drug dealers, and child molesters
By Kathryn Blackhurst, LifeZette.com
U.S. immigration officials arrested an MS-13 gang member, a cocaine trafficker, and a child molester during a series of raids in at least six states last week. The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas. ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News. â€œThis operation is on par with similar operations. We do this two or three times a year.â€ù
Of the illegal aliens arrested in the Los Angeles area, one was an MS-13 gang member from El Salvador who had been arrested previously in his native country for aggravated extortion, one was a Brazilian wanted for cocaine trafficking, and another was an Australian who had been convicted for carrying out â€œlewd and lasciviousâ€ù acts with a child.",Liberals Howl Over ICE Raids Targeting Criminal Illegal Immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants#commenting,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants#commenting
2017-02-14T17:01:44.545007,-16.40%,38%,"The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas.","Immigration agents seize felons including gang members, drug dealers, and child molesters
By Kathryn Blackhurst, LifeZette.com
U.S. immigration officials arrested an MS-13 gang member, a cocaine trafficker, and a child molester during a series of raids in at least six states last week. The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas. ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News. â€œThis operation is on par with similar operations. We do this two or three times a year.â€ù
Of the illegal aliens arrested in the Los Angeles area, one was an MS-13 gang member from El Salvador who had been arrested previously in his native country for aggravated extortion, one was a Brazilian wanted for cocaine trafficking, and another was an Australian who had been convicted for carrying out â€œlewd and lasciviousâ€ù acts with a child.",Liberals Howl Over ICE Raids Targeting Criminal Illegal Immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants
2017-02-14T17:01:38.966529,-16.40%,38%,"The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas.","Immigration agents seize felons including gang members, drug dealers, and child molesters
By Kathryn Blackhurst, LifeZette.com
U.S. immigration officials arrested an MS-13 gang member, a cocaine trafficker, and a child molester during a series of raids in at least six states last week. The raids, targeting illegal immigrants with additional felonies, are part of the first large-scale enforcement operation since President Donald Trump took office.
Immigration and Customs Enforcement officials said they targeted known criminals and arrested hundreds of illegal immigrants in what they called an â€œenforcement surgeâ€ù that began Feb. 6 and took place in Los Angeles, Atlanta, Chicago, New York, and the Carolinas. ICE arrested approximately 200 illegal aliens throughout Georgia, North Carolina, and South Carolina and arrested 160 more in 55 communities throughout southern California.
Of the 160 arrested in California, approximately 150 were marked by misdemeanors or â€œfelony criminal histories ranging from child sex crimes to weapons charges to assaults,â€ù according to the Los Angeles Daily News.
â€œDangerous criminals who should be swiftly deported are being released in our community,â€ù said David Marin, field office director for ICE, according to the Daily News. â€œThis operation is on par with similar operations. We do this two or three times a year.â€ù
Of the illegal aliens arrested in the Los Angeles area, one was an MS-13 gang member from El Salvador who had been arrested previously in his native country for aggravated extortion, one was a Brazilian wanted for cocaine trafficking, and another was an Australian who had been convicted for carrying out â€œlewd and lasciviousâ€ù acts with a child.",Liberals Howl Over ICE Raids Targeting Criminal Illegal Immigrants,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants#commenting,http://nation.foxnews.com/2017/02/13/liberals-howl-over-ice-raids-targeting-criminal-illegal-immigrants#commenting
